Barkod;Model Kodu;stockID;Name;Price;Stok
8682125482126;8682125482126;8682125482126;Karamürverli Karadut Özü 250ml (PEST_S_T ANAL_ZL_);355.99;999
8682125480892;8682125480892;8682125480892;Cool Pineapple- Ananaslı zencefilli içecek 250ml;379.0;2982
8682125481112;8682125481112;8682125481112;Serin Yaz Ikilisi Cool Pineapple & Karamürverli Karadut Özü 2'li Set;489.9;2931
8682125481532;8682125481532;8682125481532;Organik Kids So_uk Sıkım Sızma Zeytinya_ı 250ml;700.0;4887
8682125488812;8682125488812;8682125488812;Organik So_uk Sıkım Sızma Zeytinya_ı 500ml;1000.0;1898
8682125484568;8682125484568;8682125484568;Organik Bebek Pirinç Unu 350gr;220.0;4990
8682125489292;8682125489292;8682125489292;Organik Bebek irmik 350gr;220.0;4998
86821254829871;86821254829871;86821254829871;Organik Tam Yulaf unu 250gr;220.0;4988
8682125480602;8682125480602;8682125480602;Organik Enginar Sirkesi 250ml;349.0;3243
8682125480480;8682125480480;8682125480480;Ananas Sirkesi 250ml;349.0;1736
8682125483672;8682125483672;8682125483672;Organik Bebek Ek Gıda Paketi 4'lü Cam;1249.9;1999
8682125481050;8682125481050;8682125481050;__de Unu (ÇEK_RDE__ ILE B_RL_KTE) 170gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);349.0;1767
8682125481067;8682125481067;8682125481067;Organik Ginger Shot Zencefilli Içecek 500ml = 16x30 ml;1200.0;9979
86821254897802;86821254897802;86821254897802;Organik Detox Shot Mix ( Detox Sirkesi) (PEST_S_T ANAL_ZL_);580.0;1947
8682124589583;8682124589583;8682124589583;Keçi Sütlü Muhallebi 3 Tahıllı 175gr;402.9;4886
8682125489575;8682125489575;8682125489575;Keçi Sütlü Gece Muhallebisi 175gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);402.9;3872
8682125489568;8682125489568;8682125489568;Keçi Sütlü Avokadolu Muhallebi 175gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);402.9;4680
8682125489901;8682125489901;8682125489901;Organik Ginger Shot (PEST_S_T ANAL_ZL_);547.0;4444
8682125489548;8682125489548;8682125489548;Organik Avokadolu Çabuk Muhallebi Karı_ımı 200gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);379.9;4549
8682125489536;8682125489536;8682125489536;Organik Muzlu Pankek Karı_ımı 300gr (PEST_S_T VE AFLATOKS_N ANAL_ZL_);362.2;3242
86821254889123;86821254889123;86821254889123;ORGAN_K Zerdeçallı-zencefilli Tarhana 300gr (PEST_S_T ANAL_ZL_) (EKSTRA SO_AN ve SARIMSAKLI);414.0;2827
